"station","lat","lon","biomIndex2019","reconstructed","diva","maxent","ssa","divaerror","ssauncert","wpresence","averagebio","prediction","predictionMin","predictionMax","discrepancy2019","discrepancy2019abs","discrepancy2019rel"
10,45.08451666,13.23520834,86.63373566,"Y",57.68128204,0.304001,74.9312562,0.148013338,0,1,66.30626912,66.30626912,53.7880543176938,78.8244839223062,20.32746654,20.32746654,23.4636846548746
22,44.40458333,13.6511,7.385007858,"Y",48.37010193,0.0223366,0,0.24441576,0,1,19.348040772,19.348040772,6.47898856008393,32.2170929839161,-11.963032914,11.963032914,161.990794648116
23,44.34109166,14.034125,33.47870255,"Y",40.78026962,0.0199471,25.10902691,0.298551321,0,0.4,28.866621303,11.5466485212,5.85744526631292,17.2358517760871,21.9320540288,21.9320540288,65.5104659329159
32,44.04948333,14.49949168,13.83733273,"Y",33.36045074,0.00952611,5.904862695,0.381649345,0,0.4,16.2966116435,6.5186446574,0.0862273478722221,12.9510619669278,7.3186880726,7.3186880726,52.8908873943078
48,44.064675,12.62364168,0,"Y",1.700404525,-9999,0,0.05,0,0.4,1.020242715,0.408097086,0,3.90045071019391,-0.408097086,0.408097086,NA
53,44.56491664,13.55423333,62.19818115,"Y",55.36163712,0.026679,83.80281382,0.240629643,0,1,64.046061758,64.046061758,51.27707245036,76.81505106564,-1.847880608,1.847880608,2.97095602127588
58,45.02860833,13.24470833,72.96804047,"Y",55.72250748,0.304001,97.96578477,0.153430909,0,1,71.271895377,71.271895377,61.0756943601418,81.4680963938582,1.69614509300001,1.69614509300001,2.324504100802
60,44.67757498,13.48625,72.40406799,"Y",57.45154953,0.0386395,50.24757461,0.222866446,0,1,48.104407117,48.104407117,35.8157534757979,60.3930607582021,24.299660873,24.299660873,33.5611817782892
62,44.44135,12.72975833,16.13444138,"Y",20.78958893,0.483769,0,0.050495971,94.17922431,1,12.473753358,12.473753358,3.69967349951626,21.2478332164837,3.660688022,3.660688022,22.688656742326
68,42.89868336,13.97731667,0,"Y",11.48133469,-9999,0,0.05,2.481430396,0.4,6.888800814,2.7555203256,0,6.24787394979391,-2.7555203256,2.7555203256,NA
